no,Ex,Ag,Co,Ne,Op
0,-0.294404887,-0.983569567,-0.416085466,0.584235905,-0.519575773
1,-0.08001241,0.576560644,-0.416085466,0.065450305,-0.25461565
2,0.348772543,-0.983569567,-2.013860683,1.881199904,1.070184965
3,1.206342451,1.356625749,0.040421739,-1.231513694,-1.049496019
4,-0.937582318,0.316538942,0.496928944,0.324843105,0.540264719
5,0.134380066,0.316538942,0.268675342,0.843628705,0.805224842
6,-0.723189841,-1.243591269,-0.644339068,0.584235905,1.335145088
7,-0.723189841,-0.723547865,-0.187831863,0.324843105,-0.25461565
8,-0.294404887,0.576560644,-0.416085466,-0.453335294,-0.519575773
9,-1.151974795,0.316538942,-0.644339068,1.103021504,-1.314456142
10,-1.151974795,0.05651724,-0.416085466,0.065450305,0.275304596
11,-0.508797364,-1.243591269,0.040421739,1.103021504,0.010344473
12,-2.009544703,-1.50361297,-1.557353478,1.103021504,-2.90421688
13,0.348772543,0.05651724,-0.644339068,0.324843105,0.805224842
14,-1.366367272,0.05651724,1.409943355,0.324843105,-0.784535896
15,-1.580759749,-2.023656374,-0.872592671,0.065450305,-0.784535896
16,-0.08001241,0.576560644,0.268675342,1.103021504,-0.519575773
17,-0.294404887,0.316538942,0.040421739,0.065450305,-0.25461565
18,0.134380066,-2.283678076,-1.557353478,-1.490906494,-2.109336511
19,-1.151974795,-0.983569567,-0.644339068,-0.193942495,0.010344473
20,-0.294404887,0.576560644,-0.644339068,-0.193942495,-1.314456142
21,0.134380066,-1.763634672,0.496928944,1.103021504,-0.519575773
22,0.777557497,-0.463526163,-0.416085466,-0.193942495,-0.25461565
23,-0.08001241,0.576560644,0.725182547,-0.453335294,-0.25461565
24,-1.151974795,2.136690854,1.638196957,1.362414304,-0.784535896
25,0.56316502,1.356625749,2.322957765,-2.528477693,0.275304596
26,0.777557497,-0.463526163,0.268675342,0.584235905,0.275304596
27,-2.438329656,-3.583786585,0.268675342,-0.972120894,-3.434137126
28,-1.151974795,1.096604047,-0.416085466,1.362414304,-1.049496019
29,0.348772543,0.836582346,-1.329099876,0.065450305,0.805224842
30,0.134380066,0.05651724,-0.644339068,0.065450305,0.010344473
31,0.134380066,-0.463526163,-0.416085466,-0.193942495,0.010344473
32,0.56316502,1.616647451,-0.416085466,0.324843105,0.805224842
33,0.56316502,0.576560644,1.409943355,-1.490906494,0.805224842
34,-0.937582318,-3.583786585,-0.644339068,1.362414304,-1.844376388
35,0.777557497,0.576560644,0.040421739,-0.193942495,0.010344473
36,1.206342451,1.096604047,1.638196957,-0.193942495,-0.519575773
37,0.348772543,0.316538942,-0.187831863,-0.712728094,0.540264719
38,1.206342451,0.05651724,0.95343615,-0.712728094,-0.25461565
39,0.348772543,-1.243591269,-0.872592671,0.584235905,0.805224842
40,-1.151974795,0.316538942,1.181689752,-3.047263293,2.924905827
41,1.420734928,1.096604047,1.409943355,-1.750299293,2.394985581
42,1.206342451,0.316538942,-0.644339068,1.103021504,0.275304596
43,-0.294404887,0.576560644,1.181689752,-0.453335294,0.275304596
44,-0.937582318,0.576560644,-0.644339068,-1.490906494,-1.049496019
45,-2.009544703,0.316538942,-0.416085466,1.362414304,-1.314456142
46,-1.580759749,-0.723547865,-0.416085466,1.103021504,-1.049496019
